"","SRR29185159","SRR29185160","SRR29185161","SRR29185162"
"FBgn0250732",1887,2894,2467,2487
"FBti0060344",0,0,0,0
"FBgn0286036",0,0,0,0
"FBgn0037409",48,73,57,95
"FBgn0027948",6380,7940,8780,7929
"FBgn0038675",1078,1260,847,900
"FBgn0264900",0,1,0,0
"FBgn0000500",301,250,672,493
"FBgn0261504",0,1,0,4
"FBgn0037610",313,392,448,405
"FBgn0053095",0,0,0,0
"FBgn0038070",66,97,55,60
"FBgn0267571",28,25,33,35
"FBgn0261859",898,1324,1720,1301
"FBgn0262389",0,0,0,0
"FBgn0037363",1221,1682,1610,1567
"FBgn0039552",0,0,1,0
"FBgn0267797",1,8,0,1
"FBgn0039732",509,413,331,450
"FBgn0038224",3961,4087,5411,4938
"FBgn0264776",0,1,0,0
"FBgn0038525",0,0,0,0
"FBgn0262397",0,0,0,0
"FBti0019351",3,4,0,0
"FBti0019410",0,0,0,0
"FBgn0262899",1,0,0,0
"FBgn0261436",820,892,908,884
"FBti0063117",0,0,0,0
"FBgn0262378",0,0,0,1
"FBgn0038814",30,51,23,23
"FBgn0286871",0,0,0,0
"FBgn0267809",2,2,0,0
"FBgn0038279",656,750,1249,855
"FBgn0037625",2,1,3,2
"FBgn0053093",0,1,0,0
"FBti0062189",0,0,0,0
"FBti0019436",0,0,0,0
"FBgn0051579",0,0,0,0
"FBgn0027574",698,773,729,827
"FBgn0260746",2094,2448,589,1060
"FBgn0037930",1485,1625,1612,1631
"FBgn0038709",0,0,0,0
"FBgn0027095",1369,1508,1572,1684
"FBtr0309605_df_nrg",0,0,0,0
"FBgn0051450",845,790,823,767
"FBgn0038774",20,23,77,114
"FBgn0037794",647,663,729,740
"FBgn0039229",7784,9870,7609,7750
"FBgn0065064",23,48,29,55
"FBti0019348",8,4,17,5
"FBgn0038737",263,235,290,289
"FBgn0262431",0,0,0,0
"FBti0063768",0,0,0,0
"FBgn0037399",0,0,0,0
"FBti0019411",0,2,0,4
"FBti0020393",0,0,0,0
"FBgn0039291",184,181,165,199
"FBgn0037547",19,24,31,53
"FBgn0038966",58,53,45,60
"FBgn0037690",689,817,738,636
"FBti0019321",0,0,0,0
"FBgn0038783",3,0,0,3
"FBgn0011998",0,0,0,0
"FBgn0038055",1308,1631,1576,1460
"FBgn0261453",0,0,0,0
"FBgn0261792",1349,1446,1432,1641
"FBgn0040606",0,0,1,1
"FBgn0037709",225,244,628,472
"FBti0059826",0,0,0,0
"FBgn0051106",0,0,0,1
"FBti0019291",1,0,0,0
"FBgn0039131",116,191,28,97
"FBgn0267686",0,0,0,0
"FBti0062552",0,2,2,2
"FBti0061858",0,0,0,0
"FBgn0037777",271,265,364,259
"FBgn0046685",747,1100,1082,1031
"FBgn0259733",0,0,0,0
"FBgn0266388",6,16,14,11
"FBti0061730",0,0,0,0
"FBgn0267561",0,3,0,0
"FBgn0038993",6,31,5,15
"FBgn0262971",0,2,1,1
"FBgn0039313",0,0,1,2
"FBgn0004395",1539,1980,2525,2305
"FBgn0051201",16,17,22,21
"FBgn0266674",725,918,868,906
"FBgn0267767",0,0,0,4
"FBgn0039019",2593,2864,1646,1947
"FBti0062939",0,0,0,0
"FBgn0039172",2268,2339,2163,2162
"RR46358_transposable_element",1,3,2,1
"FBgn0011290",1774,2028,1953,2151
